year_released,album_length
2001,1.26124
2002,1.23248
2003,1.20372
2004,1.17496
2005,1.1462
2006,1.11744
2007,1.08868
2008,1.05992
2009,1.03116
2010,1.0024
2011,0.97364
2012,0.94488
2013,0.91612
2014,0.88736
2015,0.8586
2016,0.82984
2017,0.80108
2018,0.77232
2019,0.74356
2020,0.7148
