song_name,popularity
I'm so Grateful,35
Shining,59
Wild Thoughts,76
I'm the One,75
On Everything,45
It's Secured,39
Interlude,30
Nobody,38
I Love You so Much,37
Don't Quit,51
I Can't Even Lie,37
Down for Life,39
Major Bag Alert,38
Good Man,36
Billy Ocean,32
Pull a Caper,36
That Range Rover,37
Iced Out My Arms,39
Whatever,34
Interlude,31
Unchanging Love,32
Asahd Talk,0
