year_released,album_length
1990,1.1666
1991,1.15294
1992,1.13928
1993,1.12562
1994,1.11196
1995,1.0983
1996,1.08464
1997,1.07098
1998,1.05732
1999,1.04366
2000,1.03
2001,1.01634
2002,1.00268
2003,0.98902
2004,0.97536
2005,0.9617
2006,0.94804
2007,0.93438
2008,0.92072
2009,0.90706
2010,0.8934
2011,0.87974
2012,0.86608
2013,0.85242
2014,0.83876
2015,0.8251
2016,0.81144
2017,0.79778
2018,0.78412
2019,0.77046
2020,0.7568
